Time,Slider Position (mm),Slider Position (%),Stiffness (Nm/rad),Joint Angle (deg),Joint Angle Velocity (deg/s),Pitch VelocityDesired Position [mm],Motor Encoder (cts),Motor Current,inSwing
6.299708366394043,38.18,67.23,682.9142,-0.06591796875,0.00732421875,-3.1297709923664123,51.12498012402608,480507,-0.8420217077908351,False
6.306391716003418,38.56,67.91,690.5924,-0.0439453125,0.0,-3.1297709923664123,51.12498012402608,485368,-0.7343806355791043,False
6.31342077255249,38.97,68.62,698.8087999999999,0.0439453125,-0.00732421875,-3.155216284987277,51.12498012402608,490472,-1.0208073453013795,False
6.3202245235443115,39.36,69.31,706.6243999999999,-0.02197265625,0.02197265625,-3.198473282442748,51.12498012402608,495406,-1.220634186807993,False
6.326849699020386,39.74,69.99,714.4986,-0.0439453125,0.0146484375,-3.21882951653944,51.12498012402608,500205,-0.26270989278053636,False
6.333707094192505,40.14,70.68,722.6546,-0.02197265625,0.0,-3.1857506361323153,51.12498012402608,505181,0.4528919639987835,False
6.340386867523193,40.52,71.36,730.59,0.0,-0.02197265625,-3.099236641221374,51.12498012402608,510017,-0.008729545085153917,False
6.347038269042969,40.91,72.03,738.6824999999999,0.0439453125,0.00732421875,-3.096692111959287,51.12498012402608,514842,-0.21400126117068768,False
6.3536927700042725,41.29,72.71,746.5674999999999,-0.0439453125,0.029296875,-3.0788804071246823,51.12498012402608,519664,-0.013243278144749807,False
6.3607258796691895,41.7,73.42,755.327,-0.0439453125,-0.00732421875,-3.198473282442748,51.12498012402608,524751,-0.08458188339904926,False
6.3673646450042725,42.08,74.09,763.3488,-0.0439453125,-0.0146484375,-3.170483460559796,51.12498012402608,529551,-0.19277757629176648,False
6.374061346054077,42.46,74.77,771.3706,-0.06591796875,-0.029296875,-3.16793893129771,51.12498012402608,534407,-0.34370184599190895,False
6.380713224411011,42.85,75.45,779.9010000000001,-0.02197265625,-0.00732421875,-3.038167938931298,51.12498012402608,539238,-0.5882442709803266,False
6.387375831604004,43.23,76.13,788.0558,0.0,0.00732421875,-3.0229007633587788,51.12498012402608,544082,-0.4973042860403639,False
6.394000291824341,43.62,76.8,796.6421999999999,-0.0439453125,0.0146484375,-3.0330788804071247,51.12498012402608,548890,0.25552605417463115,False
6.4010069370269775,44.02,77.52,805.3662,0.02197265625,0.00732421875,-3.1857506361323153,51.12498012402608,554003,1.3216574225157598,False
6.407629013061523,44.41,78.19,813.8720999999998,-0.0439453125,0.0146484375,-3.2137404580152675,51.12498012402608,558834,1.0146906677100105,False
6.414215087890625,44.79,78.86,822.4443,0.0,-0.0146484375,-3.208651399491094,51.12498012402608,563622,0.07395509432675507,False
6.420860290527344,45.17,79.54,830.8689,-0.02197265625,0.0146484375,-3.1145038167938934,51.12498012402608,568456,-0.046139331635674324,False
6.4276673793792725,45.57,80.23,839.9364,-0.0439453125,-0.0146484375,-3.10941475826972,51.12498012402608,573421,0.6829849398204045,False
6.4344096183776855,45.96,80.92,848.7192,-0.06591796875,0.0,-3.1170483460559795,51.12498012402608,578329,0.6772963075542344,False
6.441334962844849,46.36,81.63,857.7272,-0.02197265625,-0.02197265625,-3.157760814249364,51.12498012402608,583383,0.7043339954685616,False
6.44800066947937,46.74,82.31,866.5438,0.0,0.0,-3.231552162849873,51.12498012402608,588255,1.5024385852174091,False
6.454701900482178,47.13,82.99,875.4631,-0.02197265625,0.0146484375,-3.2849872773536894,51.12498012402608,593130,1.2085863197066649,False
6.4613518714904785,47.52,83.67,884.5748000000001,0.02197265625,0.0146484375,-3.2951653944020354,51.12498012402608,597968,0.7654864419351366,False
6.468041896820068,47.91,84.35,893.6383999999999,-0.0439453125,0.0146484375,-3.267175572519084,51.12498012402608,602860,0.5576774920387257,False
6.474722623825073,48.29,85.03,902.4696,0.02197265625,-0.0146484375,-3.2646310432569976,51.12498012402608,607728,0.026699633693855168,False
6.481399059295654,48.68,85.71,911.7643999999999,-0.02197265625,0.0146484375,-3.1959287531806617,51.12498012402608,612588,-0.48932386303030434,False
6.488062143325806,49.07,86.4,920.9606,-0.0439453125,-0.0146484375,-3.1628498727735366,51.12498012402608,617471,-0.7642254434790712,False
6.494894742965698,49.47,87.1,930.3925999999999,-0.02197265625,0.0,-3.150127226463104,51.12498012402608,622489,-0.9162692711546605,False
6.501588582992554,49.86,87.79,939.8983999999999,-0.02197265625,-0.0146484375,-3.1755725190839694,51.12498012402608,627385,-1.1074969959355918,False
6.508688688278198,50.27,88.51,949.7138000000001,-0.0439453125,0.0,-3.221374045801527,51.12498012402608,632577,-0.6720681916441342,False
6.515367031097412,50.62,89.13,958.3159999999999,-0.02197265625,0.0,-3.173027989821883,51.12498012402608,636995,-0.17479317880855139,False
6.522232532501221,50.94,89.68,966.0919999999999,0.02197265625,0.0,-3.231552162849873,51.12498012402608,640905,-0.6698236750400556,False
6.52912712097168,51.18,90.1,971.924,0.02197265625,0.0146484375,-3.180661577608143,51.12498012402608,643964,-1.0717352652796435,False
